Date,Open,High,Low,Close,Adj Close,Volume,company
2023-10-09,324.75,330.299988,323.179993,329.820007,327.95285,19891200,Microsoft
2023-10-10,330.959991,331.100006,327.670013,328.390015,326.530945,20557100,Microsoft
2023-10-11,331.209991,332.820007,329.140015,332.420013,330.538147,20063200,Microsoft
2023-10-12,330.570007,333.630005,328.720001,331.160004,329.285248,19313100,Microsoft
2023-10-13,332.380005,333.829987,326.359985,327.730011,325.874664,21072400,Microsoft
2023-10-16,331.049988,336.140015,330.600006,332.640015,330.756866,22158000,Microsoft
2023-10-17,329.589996,333.459991,327.410004,332.059998,330.180145,18338500,Microsoft
2023-10-18,332.48999,335.589996,328.299988,330.109985,328.24118,23153600,Microsoft
2023-10-19,332.149994,336.880005,330.910004,331.320007,329.444336,25052100,Microsoft
2023-10-20,331.720001,331.920013,325.450012,326.670013,324.820709,25012600,Microsoft
2023-10-23,325.470001,332.730011,324.390015,329.320007,327.455688,24374700,Microsoft
2023-10-24,331.299988,331.839996,327.600006,330.529999,328.658813,31153600,Microsoft
2023-10-25,345.019989,346.200012,337.619995,340.670013,338.741425,55053800,Microsoft
2023-10-26,340.540009,341.630005,326.940002,327.890015,326.033783,37828500,Microsoft
2023-10-27,330.429993,336.720001,328.399994,329.809998,327.942902,29856500,Microsoft
2023-10-30,333.410004,339.450012,331.829987,337.309998,335.400421,22828100,Microsoft
2023-10-31,338.850006,339.0,334.690002,338.109985,336.195892,20265300,Microsoft
2023-11-01,339.790009,347.420013,339.649994,346.070007,344.11084,28158800,Microsoft
2023-11-02,347.23999,348.829987,344.769989,348.320007,346.348114,24348100,Microsoft
2023-11-03,349.630005,354.390015,347.329987,352.799988,350.802734,23624000,Microsoft
2023-11-06,353.450012,357.540009,353.350006,356.529999,354.511627,23828300,Microsoft
2023-11-07,359.399994,362.459991,357.630005,360.529999,358.489014,25833900,Microsoft
2023-11-08,361.679993,363.869995,360.549988,363.200012,361.14386,26767800,Microsoft
2023-11-09,362.299988,364.790009,360.359985,360.690002,358.648071,24847300,Microsoft
2023-11-10,361.48999,370.100006,361.070007,369.670013,367.57724,28042100,Microsoft
2023-11-13,368.220001,368.470001,365.899994,366.679993,364.604187,19986500,Microsoft
2023-11-14,371.01001,371.950012,367.350006,370.269989,368.173828,27683900,Microsoft
2023-11-15,371.279999,373.130005,367.109985,369.670013,368.323303,26860100,Microsoft
2023-11-16,370.959991,376.350006,370.179993,376.170013,374.799652,27182300,Microsoft
2023-11-17,373.609985,374.369995,367.0,369.850006,368.502655,40157000,Microsoft
2023-11-20,371.220001,378.869995,371.0,377.440002,376.065002,52465100,Microsoft
2023-11-21,375.670013,376.220001,371.119995,373.070007,371.710907,28423100,Microsoft
2023-11-22,378.0,379.790009,374.970001,377.850006,376.473511,23345300,Microsoft
2023-11-24,377.329987,377.970001,375.140015,377.429993,376.054993,10176600,Microsoft
2023-11-27,376.779999,380.640015,376.200012,378.609985,377.230713,22179200,Microsoft
2023-11-28,378.350006,383.0,378.160004,382.700012,381.305847,20453100,Microsoft
2023-11-29,383.76001,384.299988,377.440002,378.850006,377.469849,28963400,Microsoft
2023-11-30,378.48999,380.089996,375.470001,378.910004,377.529633,30554400,Microsoft
2023-12-01,376.76001,378.160004,371.309998,374.51001,373.14566,33020400,Microsoft
2023-12-04,369.100006,369.519989,362.899994,369.140015,367.795258,32063300,Microsoft
2023-12-05,366.450012,373.079987,365.619995,372.519989,371.162903,23065000,Microsoft
2023-12-06,373.540009,374.179993,368.029999,368.799988,367.456451,21182100,Microsoft
2023-12-07,368.230011,371.450012,366.320007,370.950012,369.598633,23118900,Microsoft
2023-12-08,369.200012,374.459991,368.230011,374.230011,372.866699,20144800,Microsoft
2023-12-11,368.480011,371.600006,366.100006,371.299988,369.947327,27708800,Microsoft
2023-12-12,370.850006,374.420013,370.459991,374.380005,373.016144,24838300,Microsoft
2023-12-13,376.019989,377.640015,370.769989,374.369995,373.006165,30955500,Microsoft
2023-12-14,373.309998,373.76001,364.130005,365.929993,364.596924,43277500,Microsoft
2023-12-15,366.850006,372.399994,366.279999,370.730011,369.379456,78478200,Microsoft
2023-12-18,369.450012,373.0,368.679993,372.649994,371.292419,21802900,Microsoft
2023-12-19,371.48999,373.26001,369.839996,373.26001,371.900238,20603700,Microsoft
2023-12-20,375.0,376.029999,370.529999,370.619995,369.269836,26316700,Microsoft
2023-12-21,372.559998,374.410004,370.040009,373.540009,372.17923,17708000,Microsoft
2023-12-22,373.679993,375.179993,372.709991,374.579987,373.215393,17091100,Microsoft
2023-12-26,375.0,376.940002,373.5,374.660004,373.295135,12673100,Microsoft
2023-12-27,373.690002,375.059998,372.809998,374.070007,372.707275,14905400,Microsoft
2023-12-28,375.369995,376.459991,374.160004,375.279999,373.912842,14327000,Microsoft
2023-12-29,376.0,377.160004,373.480011,376.040009,374.670074,18723000,Microsoft
2024-01-02,373.859985,375.899994,366.769989,370.869995,369.518921,25258600,Microsoft
2024-01-03,369.01001,373.26001,368.51001,370.600006,369.249908,23083500,Microsoft
2024-01-04,370.670013,373.100006,367.170013,367.940002,366.599579,20901500,Microsoft
2024-01-05,368.970001,372.059998,366.5,367.75,366.410309,20987000,Microsoft
2024-01-08,369.299988,375.200012,369.01001,374.690002,373.325012,23134000,Microsoft
2024-01-09,372.01001,375.98999,371.190002,375.790009,374.421021,20830000,Microsoft
2024-01-10,376.369995,384.170013,376.320007,382.769989,381.375549,25514200,Microsoft
2024-01-11,386.0,390.679993,380.380005,384.630005,383.22879,27850800,Microsoft
2024-01-12,385.48999,388.679993,384.649994,388.470001,387.05481,21645700,Microsoft
2024-01-16,393.660004,394.029999,387.619995,390.269989,388.848236,27202300,Microsoft
2024-01-17,387.980011,390.109985,384.809998,389.470001,388.051147,22234100,Microsoft
2024-01-18,391.720001,393.98999,390.119995,393.869995,392.43512,23392100,Microsoft
2024-01-19,395.76001,398.670013,393.5,398.670013,397.217682,29272000,Microsoft
2024-01-22,400.019989,400.619995,393.589996,396.51001,395.065521,27016900,Microsoft
2024-01-23,395.75,399.380005,393.929993,398.899994,397.446808,20525900,Microsoft
2024-01-24,401.540009,405.630005,400.450012,402.559998,401.093475,24867000,Microsoft
2024-01-25,404.320007,407.01001,402.529999,404.869995,403.395081,21021200,Microsoft
2024-01-26,404.369995,406.170013,402.429993,403.929993,402.458496,17803300,Microsoft
2024-01-29,406.059998,409.980011,404.329987,409.720001,408.227386,24510200,Microsoft
2024-01-30,412.26001,413.049988,406.450012,408.589996,407.101501,33477600,Microsoft
2024-01-31,406.959991,415.320007,397.209991,397.579987,396.131622,47871100,Microsoft
2024-02-01,401.829987,408.0,401.799988,403.779999,402.309052,30657700,Microsoft
2024-02-02,403.809998,412.649994,403.559998,411.220001,409.721954,28245000,Microsoft
2024-02-05,409.899994,411.160004,403.98999,405.649994,404.172241,25352300,Microsoft
2024-02-06,405.880005,407.970001,402.910004,405.48999,404.012787,18382600,Microsoft
2024-02-07,407.440002,414.299988,407.399994,414.049988,412.541595,22340500,Microsoft
2024-02-08,414.049988,415.559998,412.529999,414.109985,412.601379,21225300,Microsoft
2024-02-09,415.25,420.820007,415.089996,420.549988,419.017914,22032800,Microsoft
2024-02-12,420.559998,420.73999,414.75,415.26001,413.747223,21202900,Microsoft
2024-02-13,404.940002,410.070007,403.390015,406.320007,404.839783,27824900,Microsoft
2024-02-14,408.070007,409.839996,404.570007,409.48999,408.752716,20401200,Microsoft
2024-02-15,408.140015,409.130005,404.290009,406.559998,405.828003,21825500,Microsoft
2024-02-16,407.959991,408.290009,403.440002,404.059998,403.332489,22281100,Microsoft
2024-02-20,403.23999,404.48999,398.01001,402.790009,402.064789,24307900,Microsoft
2024-02-21,400.170013,402.290009,397.220001,402.179993,401.455872,18631100,Microsoft
2024-02-22,410.190002,412.829987,408.570007,411.649994,410.908813,27009900,Microsoft
2024-02-23,415.670013,415.859985,408.970001,410.339996,409.601196,16295900,Microsoft
2024-02-26,411.459991,412.160004,407.359985,407.540009,406.806244,16193500,Microsoft
2024-02-27,407.98999,408.320007,403.850006,407.480011,406.746338,14835800,Microsoft
2024-02-28,408.179993,409.299988,405.320007,407.720001,406.985901,13183100,Microsoft
2024-02-29,408.640015,414.200012,405.920013,413.640015,412.895264,31947300,Microsoft
2024-03-01,411.269989,415.869995,410.880005,415.5,414.751892,17800300,Microsoft
2024-03-04,413.440002,417.350006,412.320007,414.920013,414.172974,17596000,Microsoft
2024-03-05,413.959991,414.25,400.640015,402.649994,401.925018,26919200,Microsoft
2024-03-06,402.970001,405.160004,398.390015,402.089996,401.366028,22344100,Microsoft
2024-03-07,406.119995,409.779999,402.23999,409.140015,408.403381,18718500,Microsoft
2024-03-08,407.959991,410.420013,404.329987,406.220001,405.488617,17971700,Microsoft
2024-03-11,403.76001,405.679993,401.26001,404.519989,403.791656,16120800,Microsoft
2024-03-12,407.619995,415.570007,406.790009,415.279999,414.532288,22457000,Microsoft
2024-03-13,418.100006,418.179993,411.450012,415.100006,414.352631,17115900,Microsoft
2024-03-14,420.23999,427.820007,417.98999,425.220001,424.454407,34157300,Microsoft
2024-03-15,419.290009,422.600006,412.790009,416.420013,415.670258,45049800,Microsoft
2024-03-18,414.25,420.730011,413.779999,417.320007,416.568634,20106000,Microsoft
2024-03-19,417.829987,421.670013,415.549988,421.410004,420.651276,19837900,Microsoft
2024-03-20,422.0,425.959991,420.660004,425.230011,424.464386,17860100,Microsoft
2024-03-21,429.829987,430.820007,427.160004,429.369995,428.596924,21296200,Microsoft
2024-03-22,429.700012,429.859985,426.070007,428.73999,427.968048,17636500,Microsoft
2024-03-25,425.23999,427.410004,421.609985,422.859985,422.098633,18060500,Microsoft
2024-03-26,425.609985,425.98999,421.350006,421.649994,420.890808,16725600,Microsoft
2024-03-27,424.440002,424.450012,419.01001,421.429993,420.671204,16705000,Microsoft
2024-03-28,420.959991,421.869995,419.119995,420.720001,419.962494,21871200,Microsoft
2024-04-01,423.950012,427.890015,422.220001,424.570007,423.805573,16316000,Microsoft
2024-04-02,420.109985,422.380005,417.839996,421.440002,420.681213,17912000,Microsoft
2024-04-03,419.730011,423.26001,419.089996,420.450012,419.692993,16502300,Microsoft
2024-04-04,424.98999,428.670013,417.570007,417.880005,417.127625,19370900,Microsoft
2024-04-05,420.01001,426.51001,418.320007,425.519989,424.753845,16544300,Microsoft
2024-04-08,425.170013,427.279999,423.299988,424.589996,423.825531,14272400,Microsoft
2024-04-09,426.440002,427.73999,421.619995,426.279999,425.512482,12512300,Microsoft
2024-04-10,422.190002,424.029999,419.700012,423.26001,422.497925,16216600,Microsoft
2024-04-11,425.820007,429.369995,422.359985,427.929993,427.159515,17966400,Microsoft
2024-04-12,424.049988,425.179993,419.769989,421.899994,421.140381,19232100,Microsoft
2024-04-15,426.600006,426.820007,413.429993,413.640015,412.895264,20273500,Microsoft
2024-04-16,414.570007,418.399994,413.730011,414.579987,413.833557,16765600,Microsoft
2024-04-17,417.25,418.880005,410.329987,411.839996,411.09848,15855500,Microsoft
2024-04-18,410.630005,411.890015,403.950012,404.269989,403.542114,21029900,Microsoft
2024-04-19,404.029999,405.480011,397.769989,399.119995,398.401398,30276500,Microsoft
2024-04-22,400.079987,402.850006,395.75,400.959991,400.238068,20286900,Microsoft
2024-04-23,404.23999,408.200012,403.059998,407.570007,406.836182,15734500,Microsoft
2024-04-24,409.559998,412.470001,406.779999,409.059998,408.323486,15065300,Microsoft
2024-04-25,394.029999,399.890015,388.029999,399.040009,398.321533,40586500,Microsoft
2024-04-26,412.170013,413.0,405.76001,406.320007,405.58844,29694700,Microsoft
2024-04-29,405.25,406.320007,399.190002,402.25,401.525757,19582100,Microsoft
2024-04-30,401.48999,402.160004,389.170013,389.329987,388.628998,28781400,Microsoft
2024-05-01,392.609985,401.720001,390.309998,394.940002,394.228912,23562500,Microsoft
2024-05-02,397.660004,399.929993,394.649994,397.839996,397.123688,17709400,Microsoft
2024-05-03,402.279999,407.149994,401.859985,406.660004,405.927826,17446700,Microsoft
2024-05-06,408.76001,413.929993,406.369995,413.540009,412.795441,16996600,Microsoft
2024-05-07,414.660004,414.670013,409.089996,409.339996,408.602997,20018200,Microsoft
2024-05-08,408.170013,412.230011,406.709991,410.540009,409.800842,11792300,Microsoft
2024-05-09,410.570007,412.720001,409.100006,412.320007,411.577637,14689700,Microsoft
2024-05-10,412.940002,415.380005,411.799988,414.73999,413.993256,13402300,Microsoft
2024-05-13,418.01001,418.350006,410.820007,413.720001,412.975098,15440200,Microsoft
2024-05-14,412.019989,417.48999,411.549988,416.559998,415.809998,15109300,Microsoft
2024-05-15,417.899994,423.809998,417.269989,423.079987,423.079987,22239500,Microsoft
2024-05-16,421.799988,425.420013,420.350006,420.98999,420.98999,17530100,Microsoft
2024-05-17,422.540009,422.920013,418.029999,420.209991,420.209991,15352200,Microsoft
2024-05-20,420.209991,426.769989,419.98999,425.339996,425.339996,16272100,Microsoft
2024-05-21,426.829987,432.970001,424.850006,429.040009,429.040009,21453300,Microsoft
2024-05-22,430.089996,432.410004,427.130005,430.519989,430.519989,18073700,Microsoft
2024-05-23,432.970001,433.600006,425.420013,427.0,427.0,17211700,Microsoft
2024-05-24,427.190002,431.059998,424.410004,430.160004,430.160004,11845800,Microsoft
2024-05-28,429.630005,430.820007,426.600006,430.320007,430.320007,15718000,Microsoft
2024-05-29,425.690002,430.940002,425.690002,429.170013,429.170013,15517100,Microsoft
2024-05-30,424.299988,424.299988,414.23999,414.670013,414.670013,28424800,Microsoft
2024-05-31,416.75,416.75,404.51001,415.130005,415.130005,47995300,Microsoft
2024-06-03,415.529999,416.429993,408.920013,413.519989,413.519989,17484700,Microsoft
2024-06-04,412.429993,416.440002,409.679993,416.070007,416.070007,14348900,Microsoft
2024-06-05,417.809998,424.079987,416.299988,424.01001,424.01001,16988000,Microsoft
2024-06-06,424.01001,425.309998,420.579987,424.519989,424.519989,14861300,Microsoft
2024-06-07,426.200012,426.279999,423.0,423.850006,423.850006,13621700,Microsoft
2024-06-10,424.700012,428.079987,423.890015,427.869995,427.869995,14003000,Microsoft
2024-06-11,425.480011,432.820007,425.25,432.679993,432.679993,14551100,Microsoft
2024-06-12,435.320007,443.399994,433.25,441.059998,441.059998,22366200,Microsoft
2024-06-13,440.850006,443.390015,439.369995,441.579987,441.579987,15960600,Microsoft
2024-06-14,438.279999,443.140015,436.720001,442.570007,442.570007,13582000,Microsoft
2024-06-17,442.589996,450.940002,440.720001,448.369995,448.369995,20790000,Microsoft
2024-06-18,449.709991,450.140015,444.890015,446.339996,446.339996,17112500,Microsoft
2024-06-20,446.299988,446.529999,441.269989,445.700012,445.700012,19877400,Microsoft
2024-06-21,447.380005,450.579987,446.51001,449.779999,449.779999,34486200,Microsoft
2024-06-24,449.799988,452.75,446.410004,447.670013,447.670013,15913700,Microsoft
2024-06-25,448.25,451.420013,446.75,450.950012,450.950012,16747500,Microsoft
2024-06-26,449.0,453.600006,448.190002,452.160004,452.160004,16507000,Microsoft
2024-06-27,452.179993,456.170013,451.769989,452.850006,452.850006,14806300,Microsoft
2024-06-28,453.070007,455.380005,446.410004,446.950012,446.950012,28362300,Microsoft
2024-07-01,448.660004,457.369995,445.660004,456.730011,456.730011,17662800,Microsoft
2024-07-02,453.200012,459.589996,453.109985,459.279999,459.279999,13979800,Microsoft
2024-07-03,458.190002,461.019989,457.880005,460.769989,460.769989,9932800,Microsoft
2024-07-05,459.609985,468.350006,458.970001,467.559998,467.559998,16000300,Microsoft
2024-07-08,466.549988,467.700012,464.459991,466.23999,466.23999,12962300,Microsoft
2024-07-09,467.0,467.329987,458.0,459.540009,459.540009,17207200,Microsoft
2024-07-10,461.220001,466.459991,458.859985,466.25,466.25,18196100,Microsoft
2024-07-11,462.980011,464.779999,451.549988,454.700012,454.700012,23111200,Microsoft
2024-07-12,454.329987,456.359985,450.649994,453.549988,453.549988,16311300,Microsoft
2024-07-15,453.299988,457.26001,451.429993,453.959991,453.959991,14429400,Microsoft
2024-07-16,454.220001,454.299988,446.660004,449.519989,449.519989,17175700,Microsoft
2024-07-17,442.589996,444.850006,439.179993,443.519989,443.519989,21778000,Microsoft
2024-07-18,444.339996,444.649994,434.399994,440.369995,440.369995,20794800,Microsoft
2024-07-19,433.100006,441.140015,432.0,437.109985,437.109985,20862400,Microsoft
